Ваш возраст;Ваш Пол;На каком вы курсе;Ваше отношение к учебе :;Есть ли у вас хобби, и если есть то какое ?;Укажите ваше среднее экранное время в часах(!) в рабочие дни :;Укажите ваше среднее экранное время в часах(!) по выходным :;работаете ли вы ?;Считаете ли вы себя зависимым от гаджетов ?;Занимаетесь ли вы спортом?;"""Спортивный"" ли вы человек ?";Каким гаджетом вы пользуетесь чаще всего ?;Какими категориями приложений вы пользуетесь чаще всего?;Отвлекают ли вас уведомления от дел?;"Пользуетесь ли вы режимом ""не беспокоить""?";Ведете ли вы конспекты в тетрадях?;Ведете ли вы конспекты в планшетах/ноутбуке?;Много ли у вас свободного времени?;Общительный ли вы человек ?;Часто ли вы смотрите контент связанный с учебой?;Часто ли вы смотрите развлекательный контент ?;Каков ваш средний балл?;Ваше место учебы?;Как часто вы берете с собой в вуз зарядку или повербанк?;"Спустя какое время, после того как вы отвлеклись вы возвращаетесь к делам?
Напишите примерное время в минутах"
20;М;3 спец;4;Танки;8;7;нет;8;да;8;Телефон;Соцсети, Видеохостинг, Музыка, Игры;3;0;3;0;3;9;2;10;;МГУ;10;4
20;М;3 спец;3;Танкиии;8;7;нет;8;да;8;Телефон;Соцсети, Видеохостинг, Музыка, Игры;5;2;3;0;4;8;2;10;3.5-4.0;МГУ;10;10
20;Ж;3 спец;5;Сувать свой нос во все дела;9;9;да;8;да;3;Телефон;Соцсети, Видеохостинг, Музыка;10;4;5;0;1;10;4;6;4.0-4.5;МГУ;10;10
20;М;3 спец;8;Футбол;6;7;нет;7;да;9;Телефон;Соцсети, Видеохостинг, Музыка;7;8;10;0;3;8;7;5;4.5-5.0;МГУ;8;20
20;М;3 спец;2;"Ракетомоделирование; Туризм";5;6;нет;8;да;7;Телефон;Соцсети, Видеохостинг, Книги;8;9;9;1;3;9;5;8;3.5-4.0;МГУ;8;10
20;М;3 спец;7;-;8;8;да;7;нет;6;Телефон;Соцсети, Видеохостинг, Музыка;6;7;0;0;7;10;6;8;4.0-4.5;МГУ;2;1
21;Ж;3 спец;6;Рисую;5;4;да;5;да;3;Компьютер;Соцсети, Музыка, Книги;5;8;2;0;4;2;7;3;4.5-5.0;МГУ;3;5
21;Ж;3 спец;8;Вязание крючком;2;4;да;3;нет;6;Компьютер;Музыка, Игры, Книги;3;8;10;0;2;0;0;4;4.0-4.5;МГУ;0;5
20;Ж;3 спец;7;Настольные игры, если это можно считать за хобби;2;4;да;8;да;5;Компьютер;Соцсети, Музыка;4;10;4;0;2;6;0;7;4.0-4.5;МГУ;2;20
21;Ж;3 спец;8;Вязание крючком;1;1;да;2;нет;6;Компьютер;Музыка, Игры, Книги;3;7;10;0;3;0;0;3;4.0-4.5;МГУ;0;5
24;М;6 спец;2;Театральный квадратик;6;8;да;7;нет;0;Телефон;Видеохостинг, Игры, Книги;6;5;6;1;8;8;5;7;3.0-3.5;МГУ;8;2
23;Ж;5 спец;3;Игра на музыкальных инструментах, настолки;5;8;да;7;нет;4;Телефон;Соцсети, Видеохостинг, Книги;7;10;0;0;3;9;1;9;4.0-4.5;МГУ;1;3
19;Ж;2 спец;9;Нет;7;8;нет;7;да;3;Телефон;Соцсети, Видеохостинг, Музыка;6;10;10;0;3;3;2;8;4.5-5.0;МГУ;0;15
19;Ж;2 спец;7;Творчество, чтение, музыка;8;8;нет;5;нет;1;Телефон;Соцсети, Видеохостинг, Музыка;5;7;10;0;5;7;1;8;3.5-4.0;МГУ;1;10
21;Ж;3 спец;8;Творчеством занимаюсь, в основном рисую, играю на интсрумертах ;8;5;да;7;да;0;У телефона и планшета одинаковое рабочее время ;Соцсети, Видеохостинг, Музыка;8;8;0;10;5;10;7;9;4.5-5.0;МГУ;8;30
19;М;2 спец;6;Нет;6;8;нет;5;да;7;Компьютер;Соцсети, Видеохостинг, Музыка;6;7;10;0;3;8;6;6;4.5-5.0;МГУ;6;10
24;М;3 спец;8;Баскетбол, гитара, ралли/дрифт, плавание, планировка микросхем/ии;1;1;да;0;да;8;Компьютер;Музыка, заметки/яндекс карты;0;0;1;2;5;10;4;2;3.0-3.5;МГУ;0;0
20;Ж;3 спец;8;Вышивка, алмазная мозаика, чтение;7;9;нет;7;нет;4;Планшет;Соцсети, Игры, Книги;8;7;9;1;7;6;5;8;4.0-4.5;МГУ;9;10
19;М;2 спец;7;Игра на гитаре;6;8;нет;5;да;8;Телефон;Соцсети, Музыка, Книги;3;9;7;0;5;8;7;6;3.5-4.0;МГУ;0;20
21;М;1 спец;10;Чтение, фигурное катание ;6;6;нет;4;да;5;Телефон;Соцсети, Музыка, Книги;7;4;7;9;2;9;9;9;4.5-5.0;МГУ;2;10
20;Ж;3 спец;8;Спорт, видеоигры, ролевые ишры живого действия, словесные настольные ролевые игры, рисование;6;7;нет;6;да;10;Телефон;Соцсети, Музыка;3;0;10;0;3;6;1;7;4.5-5.0;МГУ;2;5
22;М;3 спец;8;Есть курочку гриль со старостой;10;10;нет;1;да;10;Телефон;Соцсети, Музыка;3;0;3;0;5;10;4;2;3.5-4.0;МГУ;0;2
21;Ж;3 спец;10;Спидкубинг, мобильная фотография;11;11;нет;8;нет;6;Компьютер;Соцсети, Видеохостинг, Музыка;10;6;4;9;3;10;7;5;4.0-4.5;МГУ;7;30
21;Ж;3 спец;5;читать манхвы, играть на гитаре;5;13;нет;9;да;5;Телефон;Соцсети, Видеохостинг, Музыка, Игры, Книги;8;5;7;0;5;8;4;10;3.5-4.0;МГУ;4;60
22;М;1 маг;5;3D моделирование ;12;6;да;6;да;6;Телефон;Соцсети, Видеохостинг, Музыка, Книги, Приложения для занятий работой, хобби ;8;4;8;10;4;7;0;6;3.5-4.0;Другой ВУЗ;10;5
21;Ж;4 спец;6;Да, делаю костюмчики и фоткаюсь в них;8;8;да;10;нет;4;Телефон;Соцсети, Видеохостинг, Книги;4;10;0;7;3;8;7;7;3.5-4.0;МГУ;10;5
21;М;4 спец;8;Инжиниринг, электроника и embedded технологии ;6;9;да;5;да;10;Компьютер;Видеохостинг, Музыка, Игры;8;4;8;0;3;8;4;6;4.0-4.5;МГУ;8;0
21;М;3 спец;7;любительская метеорология ;5;10;нет;10;да;5;Телефон;Соцсети, Видеохостинг, Музыка, Книги;10;7;10;0;2;0;6;5;4.0-4.5;МГУ;4;2
18;Ж;1 спец;6;Спать ;12;5;нет;10;да;7;Телефон;Соцсети;10;5;10;0;0;7;5;6;4.5-5.0;МГУ;5;5
18;М;1 спец;5;Волейбол, кинематограф, музыка;4;2;нет;6;да;6;Телефон;Соцсети, Музыка;10;10;7;0;3;7;5;8;4.0-4.5;МГУ;1;5
18;М;1 спец;5;биржа;3;6;да;9;да;10;все сразу;Соцсети, Игры, Книги, finamtrade, мой брокер, тинькофф инвестиции;7;10;8;2;7;8;7;9;3.0-3.5;МГУ;0;120
19;Ж;2 спец;6;Спорт;8;7;нет;7;да;8;Телефон;Соцсети, Видеохостинг, Музыка;4;8;10;0;3;7;6;7;4.5-5.0;МГУ;2;5
18;М;1 спец;7;чтение книг и, в частности, философия да марксистская литература, прохождение игр, старое и не очень кино;10;18;да;5;да;4;Компьютер;Соцсети, Видеохостинг, Дуолинго эта сова зеленая;7;7;1;9;3;10;7;7;4.5-5.0;МГУ;10;60
21;М;3 спец;8;Баскетбол, настольный теннис, гандбол, волейбол. ;6;6;да;6;да;8;Телефон;Соцсети, Видеохостинг;6;9;6;2;5;10;4;7;4.5-5.0;МГУ;0;10
20;Ж;3 спец;9;-;6;9;нет;2;нет;1;Компьютер;Видеохостинг, Музыка;3;10;0;0;5;0;5;7;4.5-5.0;МГУ;10;7
19;М;2 спец;5;Хоккей, компьютерные игры ;12;12;да;10;нет;3;Телефон;Соцсети, Музыка, Игры;10;7;5;0;5;5;1;5;3.0-3.5;Другой ВУЗ;10;5
18;Ж;1 спец;8;Танцы;11;8;нет;10;да;5;Телефон;Соцсети, Музыка, Книги;10;5;10;0;5;10;8;8;4.0-4.5;МГУ;10;2
18;М;1 спец;5;Все виды творчества;5;4;нет;8;да;8;Компьютер;Видеохостинг, Музыка, Книги;7;0;6;0;2;7;1;7;4.5-5.0;МГУ;0;20
20;М;2 спец;3;3d моделинг, шахматы;7;8;нет;9;нет;7;Телефон;Соцсети, Видеохостинг, Музыка, Книги;6;8;0;0;7;3;7;7;3.0-3.5;МГУ;1;2
