Age,Sex,Course,Attitude_to_study,Hobby,Screen_Time(WD),Screen_Time(We),Working,Addiction,Doing_sports,Sporty_man,Prefer_gadget,Notification_annoy,Dont_disturb_mode,Notes_in_copybook,Notes_in_laptop,Free_time,Sociability,Science_content,Entertainment_content,Average_mark,Educational_institution,Charger_carrying,Notifications_delay
17,0,1,2,2,7,5,0,7,1,5,3,9,8,0,10,1,10,3,8,3.25,1,10,25
17,0,1,8,3,4,7,0,5,0,3,3,7,10,10,6,3,6,7,7,4.75,0,5,25
18,1,1,5,1,3,6,1,9,1,10,0,7,10,8,2,7,8,7,9,3.25,1,0,120
18,1,1,7,3,10,18,1,5,1,4,2,7,7,1,9,3,10,7,7,4.75,1,10,60
18,1,1,5,2,5,4,0,8,1,8,2,7,0,6,0,2,7,1,7,4.75,1,0,20
18,1,1,10,1,4,4,0,10,1,10,3,0,10,0,0,10,10,4,4,3.75,1,0,2
18,1,1,5,1,4,2,0,6,1,6,3,10,10,7,0,3,7,5,8,4.25,1,1,5
18,1,1,6,0,5,3,1,8,0,2,3,9,5,8,1,4,7,1,8,4.25,1,6,10
18,1,1,7,1,6,10,0,9,1,7,3,5,8,8,0,4,7,2,9,4.75,1,2,1
18,0,1,8,1,11,8,0,10,1,5,3,10,5,10,0,5,10,8,8,4.25,1,10,2
18,0,1,7,1,6,8,1,8,1,6,3,7,4,2,9,7,8,4,7,4.75,1,8,3
18,0,1,5,0,9,9,1,7,1,3,3,8,6,9,5,2,6,1,8,4.75,1,9,3
18,0,1,6,0,12,5,0,10,1,7,3,10,5,10,0,0,7,5,6,4.75,1,5,5
18,0,1,7,3,5,7,0,9,0,5,3,9,7,10,0,2,5,3,7,4.75,1,0,5
18,1,1,7,2,8,9,0,9,1,8,3,10,2,6,0,9,6,4,6,4.75,0,5,0
18,0,2,4,0,8,8,1,2,0,1,3,1,9,8,0,0,9,0,9,3.75,0,0,1
19,1,2,9,3,3,3,1,10,1,9,1,9,8,10,5,2,7,7,2,4.75,1,10,20
19,1,2,6,0,6,8,0,5,1,7,2,6,7,10,0,3,8,6,6,4.75,1,6,10
19,1,1,7,1,5,3,0,5,1,8,3,3,9,8,0,6,8,5,5,3.75,1,0,60
